iter	RMSE
0	59.85724492
1	57.64532998
2	55.54600808
3	53.57486374
4	51.64184034
5	49.72133365
6	47.8983229
7	46.16568069
8	44.47137416
9	42.87393907
10	41.31649955
11	39.83123527
12	38.40926524
13	37.02659234
14	35.71437184
15	34.42018525
16	33.20724471
17	32.02561776
18	30.92795509
19	29.85133868
20	28.81516118
21	27.80694416
22	26.81078678
23	25.85015401
24	24.91008093
25	24.07961392
26	23.24212985
27	22.45633772
28	21.69206825
29	20.95373678
30	20.22929304
31	19.53357108
32	18.86140094
33	18.2299928
34	17.60660622
35	17.0258179
36	16.4510592
37	15.90804043
38	15.39355601
39	14.89978548
40	14.41079925
41	13.95551202
42	13.49989597
43	13.07021609
44	12.65071517
45	12.24249534
46	11.86601873
47	11.49144796
48	11.1264091
49	10.7830902
50	10.4470618
51	10.12995516
52	9.81792751
53	9.519857259
54	9.232086526
55	8.957329179
56	8.701497206
57	8.448639888
58	8.212132247
59	7.978047644
60	7.745359243
61	7.531289402
62	7.317050735
63	7.122920915
64	6.928051308
65	6.751867582
66	6.572300949
67	6.403333757
68	6.242767755
69	6.08300646
70	5.936129141
71	5.792931182
72	5.64620908
73	5.505886343
74	5.374397907
75	5.246743415
76	5.125600429
77	5.012927151
78	4.903985749
79	4.792186175
80	4.68787571
81	4.593440914
82	4.495479203
83	4.400913331
84	4.31135419
85	4.225119976
86	4.14241256
87	4.064608759
88	3.987898061
89	3.915362361
90	3.841329574
91	3.775640741
92	3.714290772
93	3.649080465
94	3.582229035
95	3.527602257
96	3.468827237
97	3.416603954
98	3.360630742
99	3.309262214
100	3.260771255
101	3.207601331
102	3.161451051
103	3.116110066
104	3.07152532
105	3.031472004
106	2.993061742
107	2.954815342
108	2.919816756
109	2.883747168
110	2.847993788
111	2.81115641
112	2.772605195
113	2.739455037
114	2.708738046
115	2.676955841
116	2.645259686
117	2.618287573
118	2.588779664
119	2.565169751
120	2.535317413
121	2.511821719
122	2.482277511
123	2.458348208
124	2.43251623
125	2.412325977
126	2.391264396
127	2.367208063
128	2.342261395
129	2.318799066
130	2.295128107
131	2.273050462
132	2.248999992
133	2.231486758
134	2.211381599
135	2.192540416
136	2.175618852
137	2.156798577
138	2.140333706
139	2.122169827
140	2.107823885
141	2.091539059
142	2.075263746
143	2.060133236
144	2.048142157
145	2.031775562
146	2.019109741
147	2.006849154
148	1.990067745
149	1.977036027
150	1.963652705
151	1.950222146
152	1.94125378
153	1.930211506
154	1.916822789
